Name *,"Categories (x,y,z...)",Price tax included,Tax rules ID,Wholesale price,Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,Weight,Quantity,Summary,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,"Available for order (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)",
pearl enamel - pine green shiny,Objetos Decorativo,"2,09",1,"6,27",050093,050093,Natal,Natal,8718533695915,2.3,48,"Bauble glass enamel, shiny mistletoe w glitter and snow 2col ass","pearl, enamel, pine, green, shiny, 50093, christmas, natal, 8718533695915",pearl enamel - pine green shiny,,"Bauble glass enamel, shiny mistletoe w glitter and snow 2col ass",Natal-050093,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/050093.jpg?sv=2018-11-09&se=2023-09-27T10%3A28%3A58Z&sr=c&sp=r&sig=yAbiIDqmEq36z3FQHrLH2C35TcJVICiHKo26FI3yn9Y%3D,pearl enamel - pine green shiny,Diâmetro:8cm:1
bauble dia8cm-olive dia6xH12cm - 2col ass winter white-moss green,Objetos Decorativo,"1,43",1,"4,29",061083,061083,Natal,Natal,8720194787182,3.5,48,"Ornament glass w matt color,ice lacquer beads,sequins,glitter 4ass","bauble, 061083, christmas, Natal, 8720194787182, Objetos Decorativo",ass winter white-moss green,,"Ornament glass w matt color,ice lacquer beads,sequins,glitter 4ass",Natal-061083,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/061083.jpg?sv=2018-11-09&se=2023-09-27T10%3A21%3A07Z&sr=c&sp=r&sig=TLnxjoOE7o0WkI11J0d5THoVn7oiJ1lTkdPOUbr92CU%3D,bauble dia8cm-olive dia6xH12cm - 2col ass winter white-moss green,Diâmetro:8cm:1
oxblood - christmas red - pine green - light gold,Objetos Decorativo,"1,58",1,"4,74",061128,061128,Natal,Natal,8720194795392,3.5,48,"Bauble glass matt diamond,bead,glitter 4col ass","oxblood, 061128, christmas, Natal, 8720194795392, Objetos Decorativo",oxblood - christmas red - pine green - light gold,,"Bauble glass matt diamond,bead,glitter 4col ass",Natal-061128,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/061128.jpg?sv=2018-11-09&se=2023-09-27T10%3A28%3A18Z&sr=c&sp=r&sig=%2FCME%2FE5J220V7MalSwyoZP4xoQPM2NEm2WePIsVp8Is%3D,oxblood - christmas red - pine green - light gold,Diâmetro:8cm:1
wool white extra mt - wool white transp. sh - light gold mt - black sh,Objetos Decorativo,"1,31",1,"3,93",062632,062632,Natal,Natal,8720194719329,3.8,48,Bauble glass enamel-matt-transparent firework-rib-leaf-check mix,"wool, 062632, christmas, Natal, 8720194719329, Objetos Decorativo",wool white extra mt - wool white transp. sh - light gold mt - black sh,,Bauble glass enamel-matt-transparent firework-rib-leaf-check mix,Natal-062632,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/062632.jpg?sv=2018-11-09&se=2023-09-27T10%3A29%3A41Z&sr=c&sp=r&sig=1Zp%2BV6mBKaa9kj0rASuicB2%2BomUsd9xNkz1PY%2BbEyy8%3D,wool white extra mt - wool white transp. sh - light gold mt - black sh,Diâmetro:8cm:1
winter white mt - pearl sh - hazy blue mt - winter white sh,Objetos Decorativo,"1,31",1,"3,93",062635,062635,Natal,Natal,8720194720202,3.8,48,Bauble glass shiny-matt-transparent firework-rib-leaf-check 4ass,"winter, 062635, christmas, Natal, 8720194720202, Objetos Decorativo",winter white mt - pearl sh - hazy blue mt - winter white sh,,Bauble glass shiny-matt-transparent firework-rib-leaf-check 4ass,Natal-062635,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/062635.jpg?sv=2018-11-09&se=2023-09-27T10%3A29%3A44Z&sr=c&sp=r&sig=4L7%2FAQo1qKyfqisQOrajoKqvMBgPHKjxQ79auhTS7Fk%3D,winter white mt - pearl sh - hazy blue mt - winter white sh,Diâmetro:8cm:1
ginger brown mt - wool white sh - marble grey mt - wool white mt,Objetos Decorativo,"1,31",1,"3,93",062637,062637,Natal,Natal,8720194720493,3.8,48,Bauble glass shiny-matt-transparent firework-rib-leaf-check 4ass,"ginger, 062637, christmas, Natal, 8720194720493, Objetos Decorativo",ginger brown mt - wool white sh - marble grey mt - wool white mt,,Bauble glass shiny-matt-transparent firework-rib-leaf-check 4ass,Natal-062637,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/062637.jpg?sv=2018-11-09&se=2023-09-27T10%3A30%3A49Z&sr=c&sp=r&sig=RZGW4Py8sExpHKAFgXPjbnwYVlNDay5YT%2BmixCqZezg%3D,ginger brown mt - wool white sh - marble grey mt - wool white mt,Diâmetro:8cm:1
pearl mt - pine green mt - Christmas red sh,Objetos Decorativo,"2,06",1,"6,18",062657,062657,Natal,Natal,8720194718964,2.9,36,Bauble glass shiny-matt line-check-leaf 3ass,"pearl, 062657, christmas, Natal, 8720194718964, Objetos Decorativo",pearl mt - pine green mt - Christmas red sh,,Bauble glass shiny-matt line-check-leaf 3ass,Natal-062657,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/062657.jpg?sv=2018-11-09&se=2023-09-27T10%3A30%3A50Z&sr=c&sp=r&sig=becZzkKRCJAnvkG1MLut828TpeVQjWeKFfWTaN%2FAYAw%3D,pearl mt - pine green mt - Christmas red sh,Diâmetro:10cm:1
Bauble glass snow,Objetos Decorativo,"4,22",1,"12,66",062765,062765,Natal,Natal,8720194838891,2.7,24,"Bauble glass snow finish w flowers and branches decal, w transparent beads all over","Bauble, 062765, christmas, Natal, 8720194838891, Objetos Decorativo",Bauble glass snow,,"Bauble glass snow finish w flowers and branches decal, w transparent beads all over",Natal-062765,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/062765v.jpg?sv=2018-11-09&se=2023-09-27T10%3A30%3A52Z&sr=c&sp=r&sig=nweJ84ViIfNe8szlDRk6vhRW37Ll4PaOJfOCIZHQJVA%3D,Bauble glass snow,Altura:10cm:1;Diâmetro:10cm:1
white - green,Objetos Decorativo,"4,61",1,"13,83",069861,069861,Natal,Natal,8720194838945,2,12,"Bauble glass w fabric flowers and leaves, w diamond, glitter 2col ass","white, 069861, christmas, Natal, 8720194838945, Objetos Decorativo",white - green,,"Bauble glass w fabric flowers and leaves, w diamond, glitter 2col ass",Natal-069861,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/069861v.jpg?sv=2018-11-09&se=2023-09-27T10%3A31%3A45Z&sr=c&sp=r&sig=BTNeQu%2B2z3YAez0%2FZyn2NnpYBBhU3BSgIMJL%2FV9Dsqg%3D,white - green,Diâmetro:8cm:1
oxblood MAT- christmas red MAT - pine green MAT- MAT pearl,Objetos Decorativo,"10,50",1,"31,5",070020,070020,Natal,Natal,8720194832929,3.8,8,"Ornament glass bottom part all over glitter, w glitter, beads, diamond, dots, gems chain in middle 4col ass","oxblood, 070020, christmas, Natal, 8720194832929, Objetos Decorativo",oxblood MAT- christmas red MAT - pine green MAT- MAT pearl,,"Ornament glass bottom part all over glitter, w glitter, beads, diamond, dots, gems chain in middle 4col ass",Natal-070020,1,https://ksdwepsaimagecloud.blob.core.windows.net/ksd-p-imagecloud-nas01/070020v.jpg?sv=2018-11-09&se=2023-09-27T10%3A31%3A48Z&sr=c&sp=r&sig=0WtkuOzmkCXvdx6kkaC5nZt1eVLmjFAdxqm0jCfIOj4%3D,oxblood MAT- christmas red MAT - pine green MAT- MAT pearl,Altura:24cm:1;Diâmetro:8cm:1
